device_type,cpu_usage,memory_usage,temperature,humidity,status,label
WeatherSensor,46.07197078220596,56.694772659439835,18.442651231160617,78.66218351981229,anomaly,DDoS
SmartFridge,71.92857052472083,51.30562209909622,6.402489777681698,47.899000368620115,anomaly,Backdoor
GPSTracker,7.553610658618726,28.868538414435207,36.11557069734171,35.988867105540464,normal,Normal
WeatherSensor,2.0732777999502616,26.080617355742614,31.97878295489723,88.28790548612328,normal,Normal
WeatherSensor,72.74882324263262,69.30100597543723,-16.184606779366547,43.814358069195706,anomaly,Injection
WeatherSensor,4.67226751634934,5.128238726611424,25.864050305608117,58.53578202043519,normal,Normal
GPSTracker,6.553719391832341,26.857570281280776,44.26848896224136,41.80465254307357,normal,Normal
SmartFridge,14.342563093814382,15.298824584658966,7.19010272364309,53.443545589523524,normal,Normal
WeatherSensor,95.00462745061583,56.066977823601,31.09021580284912,85.01213684390746,anomaly,Password
SmartGarageDoor,66.25862333689128,75.22984262496807,19.112554890866353,54.53975983935977,anomaly,Backdoor
WeatherSensor,7.111552982524174,24.396629298023853,15.007232508068451,79.44955551896177,normal,Normal
GPSTracker,12.140344107424617,12.258319444268915,38.119256556477076,21.984671032280993,normal,Normal
SmartGarageDoor,43.10170312453733,93.23221311683142,22.44937774450362,48.66444650968063,anomaly,Backdoor
SmartGarageDoor,82.48865222339916,81.28673901297918,16.027427785732115,58.87284856368582,anomaly,Backdoor
SmartGarageDoor,47.84882531848709,91.19950783811669,17.662173283503098,48.48849430660877,anomaly,Password
WeatherSensor,7.738246668374432,12.285567241840198,16.274411366346293,64.17746393658354,normal,Normal
SmartGarageDoor,55.506768415426514,85.78700527371515,15.862670015865525,56.41412909922955,anomaly,Password
SmartFridge,7.085496495215274,27.147487388696835,3.530277682008779,48.866253894579685,normal,Normal
GPSTracker,3.7042566005999977,9.48849053023465,31.530472533647337,46.52255795956841,normal,Normal
WeatherSensor,95.5517003817407,84.96029150189463,19.304570299743723,84.29827083799503,anomaly,Backdoor
WeatherSensor,13.075911081692968,20.397759495109554,24.183717428773342,70.09818640270299,normal,Normal
GPSTracker,80.9546810090701,71.8108920321632,27.565206831521465,35.77481986455254,anomaly,DDoS
SmartGarageDoor,12.848853062679177,17.02654242651714,21.404554496294928,49.744915510603114,normal,Normal
SmartGarageDoor,64.40744654926684,55.43384767321044,15.603635443515536,54.5242334752155,anomaly,Backdoor
GPSTracker,57.34384496110908,55.8684613390802,29.611794247060647,30.796209431528332,anomaly,Password
SmartFridge,75.18329183043508,67.03499027532064,2.465346832969826,49.73812352464172,anomaly,Injection
SmartGarageDoor,9.41744618849384,24.370315132364805,15.257728497076908,57.63825226046113,normal,Normal
GPSTracker,12.731027401376037,13.87781176001911,41.535701444448264,11.0384907692778,normal,Normal
SmartFridge,57.95271491082058,84.82535224234056,6.338775790311621,50.84715473042987,anomaly,Password
GPSTracker,49.79814023912532,66.61783881693741,43.69119967740549,13.265645449005907,anomaly,Password
SmartGarageDoor,57.01846282068564,72.64585817843383,17.413682713908894,47.76452280372612,anomaly,Backdoor
GPSTracker,14.62814597314581,29.96796340772214,33.90426200264488,11.789827817673096,normal,Normal
SmartFridge,2.5626205262914183,9.011197140561373,4.648856951531121,43.37946961253453,normal,Normal
WeatherSensor,9.25623414293479,10.289525160156689,30.90151269999127,51.01835893367115,normal,Normal
SmartFridge,84.41769399587835,82.5631713274693,5.490272052289602,57.095216486838225,anomaly,DDoS
SmartGarageDoor,8.653760612632302,25.767765116058452,24.690670621397736,46.55069955397515,normal,Normal
SmartGarageDoor,3.0496852833796155,17.850954927332154,19.81513901431007,40.30940912569951,normal,Normal
WeatherSensor,72.97821555993559,54.81059921962106,32.9747418272331,66.90883244931433,anomaly,DDoS
WeatherSensor,8.516861207532045,26.263950909201682,15.777623958314663,78.70903610890643,normal,Normal
