id,type,criticality
CCTV_1,CCTV,6
CCTV_2,CCTV,6
CCTV_3,CCTV,6
CCTV_4,CCTV,6
CCTV_5,CCTV,6
CCTV_6,CCTV,6
CCTV_7,CCTV,6
CCTV_8,CCTV,6
CCTV_9,CCTV,6
CCTV_10,CCTV,6
CCTV_11,CCTV,6
CCTV_12,CCTV,6
CCTV_13,CCTV,6
CCTV_14,CCTV,6
CCTV_15,CCTV,6
CCTV_16,CCTV,6
CCTV_17,CCTV,6
CCTV_18,CCTV,6
CCTV_19,CCTV,6
CCTV_20,CCTV,6
CCTV_21,CCTV,6
CCTV_22,CCTV,6
CCTV_23,CCTV,6
CCTV_24,CCTV,6
CCTV_25,CCTV,6
CCTV_26,CCTV,6
CCTV_27,CCTV,6
CCTV_28,CCTV,6
CCTV_29,CCTV,6
CCTV_30,CCTV,6
TrafficLight_1,TrafficLight,8
TrafficLight_2,TrafficLight,8
TrafficLight_3,TrafficLight,8
TrafficLight_4,TrafficLight,8
TrafficLight_5,TrafficLight,8
TrafficLight_6,TrafficLight,8
TrafficLight_7,TrafficLight,8
TrafficLight_8,TrafficLight,8
TrafficLight_9,TrafficLight,8
TrafficLight_10,TrafficLight,8
TrafficLight_11,TrafficLight,8
TrafficLight_12,TrafficLight,8
TrafficLight_13,TrafficLight,8
TrafficLight_14,TrafficLight,8
TrafficLight_15,TrafficLight,8
TrafficLight_16,TrafficLight,8
TrafficLight_17,TrafficLight,8
TrafficLight_18,TrafficLight,8
TrafficLight_19,TrafficLight,8
TrafficLight_20,TrafficLight,8
TrafficLight_21,TrafficLight,8
TrafficLight_22,TrafficLight,8
TrafficLight_23,TrafficLight,8
TrafficLight_24,TrafficLight,8
TrafficLight_25,TrafficLight,8
TrafficLight_26,TrafficLight,8
TrafficLight_27,TrafficLight,8
TrafficLight_28,TrafficLight,8
TrafficLight_29,TrafficLight,8
TrafficLight_30,TrafficLight,8
ParkingSensor_1,ParkingSensor,3
ParkingSensor_2,ParkingSensor,3
ParkingSensor_3,ParkingSensor,3
ParkingSensor_4,ParkingSensor,3
ParkingSensor_5,ParkingSensor,3
ParkingSensor_6,ParkingSensor,3
ParkingSensor_7,ParkingSensor,3
ParkingSensor_8,ParkingSensor,3
ParkingSensor_9,ParkingSensor,3
ParkingSensor_10,ParkingSensor,3
ParkingSensor_11,ParkingSensor,3
ParkingSensor_12,ParkingSensor,3
ParkingSensor_13,ParkingSensor,3
ParkingSensor_14,ParkingSensor,3
ParkingSensor_15,ParkingSensor,3
SmartMeter_1,SmartMeter,4
SmartMeter_2,SmartMeter,4
SmartMeter_3,SmartMeter,4
SmartMeter_4,SmartMeter,4
SmartMeter_5,SmartMeter,4
SmartMeter_6,SmartMeter,4
SmartMeter_7,SmartMeter,4
SmartMeter_8,SmartMeter,4
SmartMeter_9,SmartMeter,4
SmartMeter_10,SmartMeter,4
WaterSensor_1,WaterSensor,7
WaterSensor_2,WaterSensor,7
WaterSensor_3,WaterSensor,7
WaterSensor_4,WaterSensor,7
WaterSensor_5,WaterSensor,7
StreetLight_1,StreetLight,2
StreetLight_2,StreetLight,2
StreetLight_3,StreetLight,2
StreetLight_4,StreetLight,2
StreetLight_5,StreetLight,2
Gateway_1,Gateway,9
Gateway_2,Gateway,9
Gateway_3,Gateway,9
Server_1,Server,10
Server_2,Server,10
