source,target,probability
Server_1,Server_2,0.95826214501378
Server_2,Server_1,0.95826214501378
Gateway_1,Server_1,0.918224308343476
Server_1,Gateway_1,0.918224308343476
Gateway_2,Server_2,0.906895123811409
Server_2,Gateway_2,0.906895123811409
Gateway_3,Server_1,0.8738871733033668
Server_1,Gateway_3,0.8738871733033668
CCTV_1,Gateway_1,0.8238351080982707
Gateway_1,CCTV_1,0.8238351080982707
CCTV_2,Gateway_2,0.8736241112065709
Gateway_2,CCTV_2,0.8736241112065709
CCTV_3,Gateway_3,0.9002724741027136
Gateway_3,CCTV_3,0.9002724741027136
CCTV_4,Gateway_1,0.8349017380163376
Gateway_1,CCTV_4,0.8349017380163376
CCTV_5,Gateway_2,0.8586837589021953
Gateway_2,CCTV_5,0.8586837589021953
CCTV_4,CCTV_5,0.8116600115727136
CCTV_5,CCTV_4,0.8116600115727136
CCTV_6,Gateway_3,0.8683047142781374
Gateway_3,CCTV_6,0.8683047142781374
CCTV_7,Gateway_1,0.7978815234340865
Gateway_1,CCTV_7,0.7978815234340865
CCTV_8,Gateway_2,0.8332464379738906
Gateway_2,CCTV_8,0.8332464379738906
CCTV_7,CCTV_8,0.752720850153128
CCTV_8,CCTV_7,0.752720850153128
CCTV_9,Gateway_3,0.8574746028258255
Gateway_3,CCTV_9,0.8574746028258255
CCTV_8,CCTV_9,0.7492871047332861
CCTV_9,CCTV_8,0.7492871047332861
CCTV_10,Gateway_1,0.8454745170156792
Gateway_1,CCTV_10,0.8454745170156792
CCTV_9,CCTV_10,0.7037712251956529
CCTV_10,CCTV_9,0.7037712251956529
CCTV_11,Gateway_2,0.8376687396798899
Gateway_2,CCTV_11,0.8376687396798899
CCTV_12,Gateway_3,0.8475726878739444
Gateway_3,CCTV_12,0.8475726878739444
CCTV_13,Gateway_1,0.815419229198405
Gateway_1,CCTV_13,0.815419229198405
CCTV_14,Gateway_2,0.836112035468534
Gateway_2,CCTV_14,0.836112035468534
CCTV_15,Gateway_3,0.8393593664361281
Gateway_3,CCTV_15,0.8393593664361281
CCTV_16,Gateway_1,0.8350244713715633
Gateway_1,CCTV_16,0.8350244713715633
CCTV_17,Gateway_2,0.8289446405400637
Gateway_2,CCTV_17,0.8289446405400637
CCTV_18,Gateway_3,0.8454527740803189
Gateway_3,CCTV_18,0.8454527740803189
CCTV_19,Gateway_1,0.8218674102755188
Gateway_1,CCTV_19,0.8218674102755188
CCTV_20,Gateway_2,0.8376669174549543
Gateway_2,CCTV_20,0.8376669174549543
CCTV_21,Gateway_3,0.8926192997446477
Gateway_3,CCTV_21,0.8926192997446477
CCTV_22,Gateway_1,0.8285978237831335
Gateway_1,CCTV_22,0.8285978237831335
CCTV_23,Gateway_2,0.8526947167466102
Gateway_2,CCTV_23,0.8526947167466102
CCTV_22,CCTV_23,0.7199103163697909
CCTV_23,CCTV_22,0.7199103163697909
CCTV_24,Gateway_3,0.8639593405072308
Gateway_3,CCTV_24,0.8639593405072308
CCTV_25,Gateway_1,0.8474042610641052
Gateway_1,CCTV_25,0.8474042610641052
CCTV_26,Gateway_2,0.8870460331530982
Gateway_2,CCTV_26,0.8870460331530982
CCTV_27,Gateway_3,0.8625100079867484
Gateway_3,CCTV_27,0.8625100079867484
CCTV_28,Gateway_1,0.8726043761475101
Gateway_1,CCTV_28,0.8726043761475101
CCTV_29,Gateway_2,0.8868922374079036
Gateway_2,CCTV_29,0.8868922374079036
CCTV_28,CCTV_29,0.7047786017449171
CCTV_29,CCTV_28,0.7047786017449171
CCTV_30,Gateway_3,0.8197460993614645
Gateway_3,CCTV_30,0.8197460993614645
TrafficLight_1,Gateway_1,0.7901390444141249
Gateway_1,TrafficLight_1,0.7901390444141249
TrafficLight_2,Gateway_2,0.7798355788079234
Gateway_2,TrafficLight_2,0.7798355788079234
TrafficLight_3,Gateway_3,0.7473835594997289
Gateway_3,TrafficLight_3,0.7473835594997289
TrafficLight_4,Gateway_1,0.8418939006498695
Gateway_1,TrafficLight_4,0.8418939006498695
TrafficLight_3,TrafficLight_4,0.7166118245613743
TrafficLight_4,TrafficLight_3,0.7166118245613743
TrafficLight_5,Gateway_2,0.8112455768500857
Gateway_2,TrafficLight_5,0.8112455768500857
TrafficLight_6,Gateway_3,0.8047673843823105
Gateway_3,TrafficLight_6,0.8047673843823105
TrafficLight_7,Gateway_1,0.8201003445625771
Gateway_1,TrafficLight_7,0.8201003445625771
TrafficLight_8,Gateway_2,0.7240446750188495
Gateway_2,TrafficLight_8,0.7240446750188495
TrafficLight_9,Gateway_3,0.7815487834807703
Gateway_3,TrafficLight_9,0.7815487834807703
TrafficLight_10,Gateway_1,0.7660055943332803
Gateway_1,TrafficLight_10,0.7660055943332803
TrafficLight_11,Gateway_2,0.7923868338296152
Gateway_2,TrafficLight_11,0.7923868338296152
TrafficLight_12,Gateway_3,0.7651538977667388
Gateway_3,TrafficLight_12,0.7651538977667388
TrafficLight_11,TrafficLight_12,0.7554483089545806
TrafficLight_12,TrafficLight_11,0.7554483089545806
TrafficLight_13,Gateway_1,0.7939514179236862
Gateway_1,TrafficLight_13,0.7939514179236862
TrafficLight_14,Gateway_2,0.792168122648227
Gateway_2,TrafficLight_14,0.792168122648227
TrafficLight_15,Gateway_3,0.7904508899941123
Gateway_3,TrafficLight_15,0.7904508899941123
TrafficLight_16,Gateway_1,0.8135852961851994
Gateway_1,TrafficLight_16,0.8135852961851994
TrafficLight_17,Gateway_2,0.7536158250221979
Gateway_2,TrafficLight_17,0.7536158250221979
TrafficLight_16,TrafficLight_17,0.7456801619067421
TrafficLight_17,TrafficLight_16,0.7456801619067421
TrafficLight_18,Gateway_3,0.8478613751209019
Gateway_3,TrafficLight_18,0.8478613751209019
TrafficLight_19,Gateway_1,0.8173528671565935
Gateway_1,TrafficLight_19,0.8173528671565935
TrafficLight_20,Gateway_2,0.8395665845201887
Gateway_2,TrafficLight_20,0.8395665845201887
TrafficLight_19,TrafficLight_20,0.7020979049987568
TrafficLight_20,TrafficLight_19,0.7020979049987568
TrafficLight_21,Gateway_3,0.7641078126019142
Gateway_3,TrafficLight_21,0.7641078126019142
TrafficLight_22,Gateway_1,0.7664445560029014
Gateway_1,TrafficLight_22,0.7664445560029014
TrafficLight_21,TrafficLight_22,0.6780659237208179
TrafficLight_22,TrafficLight_21,0.6780659237208179
TrafficLight_23,Gateway_2,0.7921500737790512
Gateway_2,TrafficLight_23,0.7921500737790512
TrafficLight_22,TrafficLight_23,0.697366220323003
TrafficLight_23,TrafficLight_22,0.697366220323003
TrafficLight_24,Gateway_3,0.8212503403243825
Gateway_3,TrafficLight_24,0.8212503403243825
TrafficLight_23,TrafficLight_24,0.7141666455186183
TrafficLight_24,TrafficLight_23,0.7141666455186183
TrafficLight_25,Gateway_1,0.7441324156704638
Gateway_1,TrafficLight_25,0.7441324156704638
TrafficLight_26,Gateway_2,0.8091200658493605
Gateway_2,TrafficLight_26,0.8091200658493605
TrafficLight_27,Gateway_3,0.8490114570654601
Gateway_3,TrafficLight_27,0.8490114570654601
TrafficLight_28,Gateway_1,0.8143054497043565
Gateway_1,TrafficLight_28,0.8143054497043565
TrafficLight_29,Gateway_2,0.8003241846015667
Gateway_2,TrafficLight_29,0.8003241846015667
TrafficLight_30,Gateway_3,0.777100726514113
Gateway_3,TrafficLight_30,0.777100726514113
ParkingSensor_1,Gateway_1,0.6387533544638921
Gateway_1,ParkingSensor_1,0.6387533544638921
ParkingSensor_2,Gateway_2,0.6578354456698331
Gateway_2,ParkingSensor_2,0.6578354456698331
ParkingSensor_3,Gateway_3,0.6563672302939155
Gateway_3,ParkingSensor_3,0.6563672302939155
ParkingSensor_2,ParkingSensor_3,0.506643133580806
ParkingSensor_3,ParkingSensor_2,0.506643133580806
ParkingSensor_4,Gateway_1,0.6512199687961114
Gateway_1,ParkingSensor_4,0.6512199687961114
ParkingSensor_5,Gateway_2,0.5860741215672705
Gateway_2,ParkingSensor_5,0.5860741215672705
ParkingSensor_6,Gateway_3,0.6650585017503987
Gateway_3,ParkingSensor_6,0.6650585017503987
ParkingSensor_7,Gateway_1,0.6482682708902634
Gateway_1,ParkingSensor_7,0.6482682708902634
ParkingSensor_8,Gateway_2,0.6598656547904324
Gateway_2,ParkingSensor_8,0.6598656547904324
ParkingSensor_9,Gateway_3,0.6262426600346348
Gateway_3,ParkingSensor_9,0.6262426600346348
ParkingSensor_10,Gateway_1,0.6779539881448678
Gateway_1,ParkingSensor_10,0.6779539881448678
ParkingSensor_9,ParkingSensor_10,0.5280296408819072
ParkingSensor_10,ParkingSensor_9,0.5280296408819072
ParkingSensor_11,Gateway_2,0.6564444010044306
Gateway_2,ParkingSensor_11,0.6564444010044306
ParkingSensor_12,Gateway_3,0.6434275694502836
Gateway_3,ParkingSensor_12,0.6434275694502836
ParkingSensor_11,ParkingSensor_12,0.4648710606676518
ParkingSensor_12,ParkingSensor_11,0.4648710606676518
ParkingSensor_13,Gateway_1,0.6611068147561905
Gateway_1,ParkingSensor_13,0.6611068147561905
ParkingSensor_12,ParkingSensor_13,0.5224622887316983
ParkingSensor_13,ParkingSensor_12,0.5224622887316983
ParkingSensor_14,Gateway_2,0.692596715797068
Gateway_2,ParkingSensor_14,0.692596715797068
ParkingSensor_15,Gateway_3,0.6862241924719354
Gateway_3,ParkingSensor_15,0.6862241924719354
SmartMeter_1,Gateway_1,0.7317899097272571
